,RUID,Assigned Rooms
84,732537012,"['BS', 'West', '301B-A']"
85,912331031,"['BS', 'West', '301B-B']"
86,314749217,"['BS', 'West', '301B-C']"
87,212240730,"['BS', 'West', '301B-D']"
88,571726171,"['BS', 'West', '302A-A']"
89,899756571,"['BS', 'West', '302A-B']"
90,453233203,"['BS', 'West', '302A-C']"
91,240278070,"['BS', 'West', '302A-D']"
92,217514551,"['BS', 'West', '302B-A']"
93,281326237,"['BS', 'West', '302B-B']"
94,810832569,"['BS', 'West', '302B-C']"
95,386986714,"['BS', 'West', '302B-D']"
96,669616863,"['BS', 'West', '303A-A']"
97,463741666,"['BS', 'West', '303A-B']"
98,798739177,"['BS', 'West', '303A-C']"
99,639597300,"['BS', 'West', '303A-D']"
100,409043708,"['BS', 'West', '303B-A']"
101,261108505,"['BS', 'West', '303B-B']"
102,867574557,"['BS', 'West', '303B-C']"
103,436949796,"['BS', 'West', '303B-D']"
104,633287558,"['BS', 'West', '304A-A']"
105,643603345,"['BS', 'West', '304A-B']"
106,437654434,"['BS', 'West', '304A-C']"
107,967322589,"['BS', 'West', '304A-D']"
108,913626100,"['BS', 'West', '304B-A']"
109,104811597,"['BS', 'West', '304B-B']"
110,379737194,"['BS', 'West', '304B-C']"
111,644846736,"['BS', 'West', '304B-D']"
112,370672800,"['BS', 'West', '305A-A']"
113,635432123,"['BS', 'West', '305A-B']"
114,574403787,"['BS', 'West', '305A-C']"
115,386772177,"['BS', 'West', '305A-D']"
116,588911911,"['BS', 'West', '305B-A']"
117,557120861,"['BS', 'West', '305B-B']"
118,506953069,"['BS', 'West', '305B-C']"
119,298257803,"['BS', 'West', '305B-D']"
120,653082067,"['BS', 'West', '306-A']"
121,462024185,"['BS', 'West', '306-B']"
122,137516551,"['BS', 'West', '306-C']"
123,280659512,"['BS', 'West', '306-D']"
124,352210505,"['BS', 'West', '307A-A']"
125,927614638,"['BS', 'West', '307A-B']"
126,619890443,"['BS', 'West', '307A-C']"
127,127911715,"['BS', 'West', '307A-D']"
128,797757288,"['BS', 'West', '307B-A']"
129,712206224,"['BS', 'West', '307B-B']"
130,828086226,"['BS', 'West', '307B-C']"
131,355723373,"['JA', '800 - 815', '800-A']"
132,369701049,"['JA', '800 - 815', '800-B']"
133,512245970,"['JA', '800 - 815', '801-A']"
134,239489276,"['JA', '800 - 815', '801-B']"
135,405934343,"['JA', '800 - 815', '802-A']"
136,144011543,"['JA', '800 - 815', '802-B']"
137,196163876,"['JA', '800 - 815', '803-A']"
138,646011189,"['JA', '800 - 815', '803-B']"
139,297539904,"['JA', '800 - 815', '808-A']"
140,989383012,"['JA', '800 - 815', '808-B']"
141,110823784,"['JA', '800 - 815', '809-A']"
142,187664848,"['JA', '800 - 815', '809-B']"
143,667834902,"['JA', '800 - 815', '810-A']"
144,925026914,"['JA', '800 - 815', '810-B']"
145,588270309,"['JA', '800 - 815', '811-A']"
146,846072582,"['JA', '800 - 815', '811-B']"
147,281803629,"['JA', '800 - 815', '804-A']"
148,970580858,"['JA', '800 - 815', '804-B']"
149,528681884,"['JA', '800 - 815', '805-A']"
150,745190382,"['JA', '800 - 815', '805-B']"
151,101461007,"['JA', '800 - 815', '806-A']"
152,322766169,"['JA', '800 - 815', '806-B']"
153,961246831,"['JA', '800 - 815', '807-A']"
154,781309618,"['JA', '800 - 815', '807-B']"
155,463318713,"['JA', '800 - 815', '812-A']"
156,135605950,"['JA', '800 - 815', '812-B']"
157,281618120,"['JA', '800 - 815', '813-A']"
158,790798027,"['JA', '800 - 815', '813-B']"
159,590413521,"['JA', '800 - 815', '814-A']"
160,565415752,"['JA', '800 - 815', '814-B']"
161,549285837,"['JA', '800 - 815', '815-A']"
162,695173116,"['JA', '800 - 815', '815-B']"
163,857716758,"['JA', '816 - 831', '816-A']"
164,903886884,"['JA', '816 - 831', '816-B']"
165,155303990,"['JA', '816 - 831', '817-A']"
166,756293687,"['JA', '816 - 831', '817-B']"
167,888860740,"['JA', '816 - 831', '818-A']"
168,358326349,"['JA', '816 - 831', '818-B']"
169,495663184,"['JA', '816 - 831', '819-A']"
170,953544816,"['JA', '816 - 831', '819-B']"
171,204740741,"['JA', '816 - 831', '824-A']"
172,599007365,"['JA', '816 - 831', '824-B']"
173,222062742,"['JA', '816 - 831', '825-A']"
174,819234990,"['JA', '816 - 831', '825-B']"
175,113946844,"['JA', '816 - 831', '826-A']"
176,512860390,"['JA', '816 - 831', '826-B']"
177,328423693,"['JA', '816 - 831', '827-A']"
178,585939225,"['JA', '816 - 831', '827-B']"
179,343718186,"['JA', '816 - 831', '820-A']"
180,934037823,"['JA', '816 - 831', '820-B']"
181,717064546,"['JA', '816 - 831', '821-A']"
182,161061296,"['JA', '816 - 831', '821-B']"
183,805698015,"['JA', '816 - 831', '822-A']"
184,721172978,"['JA', '816 - 831', '822-B']"
185,744241657,"['JA', '816 - 831', '823-A']"
186,395704835,"['JA', '816 - 831', '823-B']"
187,795193890,"['JA', '816 - 831', '828-A']"
188,785904175,"['JA', '816 - 831', '828-B']"
189,637604413,"['JA', '816 - 831', '829-A']"
190,205791810,"['JA', '816 - 831', '829-B']"
191,567833169,"['JA', '816 - 831', '830-A']"
192,172554842,"['JA', '816 - 831', '830-B']"
193,945924723,"['JA', '816 - 831', '831-A']"
194,441270922,"['JA', '816 - 831', '831-B']"
195,419609237,"['JA', '832- 851', '832-A']"
196,545354404,"['JA', '832- 851', '832-B']"
197,230537916,"['JA', '832- 851', '833-A']"
198,156746457,"['JA', '832- 851', '833-B']"
199,187110111,"['JA', '832- 851', '836-A']"
200,246663948,"['JA', '832- 851', '836-B']"
201,560294670,"['JA', '832- 851', '837-A']"
202,133950233,"['JA', '832- 851', '837-B']"
203,307704625,"['JA', '832- 851', '838-A']"
204,470074208,"['JA', '832- 851', '838-B']"
205,430678895,"['JA', '832- 851', '839-A']"
206,909722501,"['JA', '832- 851', '839-B']"
207,864201606,"['JA', '832- 851', '844-A']"
208,612746156,"['JA', '832- 851', '844-B']"
209,741520334,"['JA', '832- 851', '845-A']"
210,415423445,"['JA', '832- 851', '845-B']"
211,673604576,"['JA', '832- 851', '846-A']"
212,932303896,"['JA', '832- 851', '846-B']"
213,834239576,"['JA', '832- 851', '847-A']"
214,849710185,"['JA', '832- 851', '847-B']"
215,266847357,"['JA', '832- 851', '834-A']"
216,306070663,"['JA', '832- 851', '834-B']"
217,328490120,"['JA', '832- 851', '835-A']"
218,975701134,"['JA', '832- 851', '835-B']"
219,927741094,"['JA', '832- 851', '840-A']"
220,780192964,"['JA', '832- 851', '840-B']"
221,931392725,"['JA', '832- 851', '842-A']"
222,322405605,"['JA', '832- 851', '842-B']"
223,887143661,"['JA', '832- 851', '841-A']"
224,183721236,"['JA', '832- 851', '841-B']"
225,170128681,"['JA', '832- 851', '843-A']"
226,811803985,"['JA', '832- 851', '843-B']"
227,791016796,"['JA', '832- 851', '848-A']"
228,539299237,"['JA', '832- 851', '848-B']"
229,517410215,"['JA', '832- 851', '849-A']"
230,997914036,"['JA', '832- 851', '849-B']"
231,198632924,"['JA', '832- 851', '850-A']"
232,994067967,"['JA', '832- 851', '850-B']"
233,670182912,"['JA', '832- 851', '851-A']"
234,348050945,"['JA', '832- 851', '851-B']"
235,398485028,"['JA', '852 - 867', '852-A']"
236,603022937,"['JA', '852 - 867', '852-B']"
237,392404574,"['JA', '852 - 867', '853-A']"
238,249609866,"['JA', '852 - 867', '853-B']"
239,492631691,"['JA', '852 - 867', '854-A']"
240,584701582,"['JA', '852 - 867', '854-B']"
241,264998555,"['JA', '852 - 867', '855-A']"
242,571457188,"['JA', '852 - 867', '855-B']"
243,757147359,"['JA', '852 - 867', '860-A']"
244,794191613,"['JA', '852 - 867', '860-B']"
245,383758084,"['JA', '852 - 867', '861-A']"
246,542230295,"['JA', '852 - 867', '861-B']"
247,148184939,"['JA', '852 - 867', '862-A']"
248,319569788,"['JA', '852 - 867', '862-B']"
249,779743122,"['JA', '852 - 867', '863-A']"
250,218324899,"['JA', '852 - 867', '863-B']"
251,252161970,"['JA', '852 - 867', '856-A']"
252,213166071,"['JA', '852 - 867', '856-B']"
253,616835070,"['JA', '852 - 867', '857-A']"
254,399173682,"['JA', '852 - 867', '857-B']"
255,480301117,"['JA', '852 - 867', '858-A']"
256,174518335,"['JA', '852 - 867', '858-B']"
257,592072789,"['JA', '852 - 867', '859-A']"
258,853110900,"['JA', '852 - 867', '859-B']"
259,529504391,"['JA', '852 - 867', '864-A']"
260,787523725,"['JA', '852 - 867', '864-B']"
261,683982998,"['JA', '852 - 867', '865-A']"
262,588804264,"['JA', '852 - 867', '865-B']"
263,526106799,"['JA', '852 - 867', '866-A']"
264,126253236,"['JA', '852 - 867', '866-B']"
265,922271969,"['JA', '852 - 867', '867-A']"
266,300497137,"['JA', '852 - 867', '867-B']"
267,879628553,"['JA', '868 - 883', '868-A']"
268,723466510,"['JA', '868 - 883', '868-B']"
269,689131789,"['JA', '868 - 883', '869-A']"
270,492060948,"['JA', '868 - 883', '869-B']"
271,744479004,"['JA', '868 - 883', '870-A']"
272,488612150,"['JA', '868 - 883', '870-B']"
273,283244913,"['JA', '868 - 883', '871-A']"
274,805054875,"['JA', '868 - 883', '871-B']"
275,548694463,"['JA', '868 - 883', '876-A']"
276,952412616,"['JA', '868 - 883', '876-B']"
277,125157862,"['JA', '868 - 883', '877-A']"
278,366201332,"['JA', '868 - 883', '877-B']"
279,851139085,"['JA', '868 - 883', '878-A']"
280,801856016,"['JA', '868 - 883', '878-B']"
281,672113169,"['JA', '868 - 883', '879-A']"
282,470784548,"['JA', '868 - 883', '879-B']"
283,214880830,"['JA', '868 - 883', '872-A']"
284,887153244,"['JA', '868 - 883', '872-B']"
285,277109347,"['JA', '868 - 883', '873-A']"
286,774974049,"['JA', '868 - 883', '873-B']"
287,175630953,"['JA', '868 - 883', '874-A']"
288,365445744,"['JA', '868 - 883', '874-B']"
289,876804731,"['JA', '868 - 883', '875-A']"
290,609649282,"['JA', '868 - 883', '875-B']"
291,838894245,"['JA', '868 - 883', '880-A']"
292,761436859,"['JA', '868 - 883', '880-B']"
293,564615886,"['JA', '868 - 883', '881-A']"
294,843401942,"['JA', '868 - 883', '881-B']"
295,491973337,"['JA', '868 - 883', '882-A']"
296,852894449,"['JA', '868 - 883', '882-B']"
297,798286610,"['JA', '868 - 883', '883-A']"
298,781089577,"['JA', '868 - 883', '883-B']"
299,594733869,"['JA', '884- 899', '884-A']"
300,447583050,"['JA', '884- 899', '884-B']"
301,538336077,"['JA', '884- 899', '885-A']"
302,399065952,"['JA', '884- 899', '885-B']"
303,974203787,"['JA', '884- 899', '886-A']"
304,455027607,"['JA', '884- 899', '886-B']"
305,967238559,"['JA', '884- 899', '887-A']"
306,529949666,"['JA', '884- 899', '887-B']"
307,290130917,"['JA', '884- 899', '892-A']"
308,964860907,"['JA', '884- 899', '892-B']"
309,244356093,"['JA', '884- 899', '893-A']"
310,558857229,"['JA', '884- 899', '893-B']"
311,823893012,"['JA', '884- 899', '894-A']"
312,888992829,"['JA', '884- 899', '894-B']"
313,752720964,"['JA', '884- 899', '895-A']"
314,926522444,"['JA', '884- 899', '895-B']"
315,537214040,"['JA', '884- 899', '889-A']"
316,786422914,"['JA', '884- 899', '889-B']"
317,423613597,"['JA', '884- 899', '890-A']"
318,225895644,"['JA', '884- 899', '890-B']"
319,296166625,"['JA', '884- 899', '891-A']"
320,493673712,"['JA', '884- 899', '891-B']"
321,537119994,"['JA', '884- 899', '888-A']"
322,601480459,"['JA', '884- 899', '888-B']"
323,669918494,"['JA', '884- 899', '896-A']"
324,855305505,"['JA', '884- 899', '896-B']"
325,239193392,"['JA', '884- 899', '897-A']"
326,147811660,"['JA', '884- 899', '897-B']"
327,444224861,"['JA', '884- 899', '898-A']"
328,769576317,"['JA', '884- 899', '898-B']"
329,873430398,"['JA', '884- 899', '899-A']"
330,703849870,"['JA', '884- 899', '899-B']"
331,953273766,"['BS', 'West', '307B-D']"
332,885636523,"['BS', 'West', '308A-A']"
333,181751239,"['BS', 'West', '308A-B']"
334,339457485,"['BS', 'West', '308A-C']"
335,586511863,"['BS', 'West', '308A-D']"
336,228498955,"['BS', 'West', '308B-A']"
337,314363405,"['BS', 'West', '308B-B']"
338,851004944,"['BS', 'West', '308B-C']"
339,430626342,"['BS', 'West', '308B-D']"
340,986156605,"['BS', 'West', '309A-A']"
341,637617756,"['BS', 'West', '309A-B']"
342,540544610,"['BS', 'West', '309A-C']"
343,337397397,"['BS', 'West', '309A-D']"
344,679098027,"['BS', 'West', '309B-A']"
345,334102220,"['BS', 'West', '309B-B']"
346,965930708,"['BS', 'West', '309B-C']"
347,918370072,"['BS', 'West', '309B-D']"
348,549893919,"['BS', 'West', '310A-A']"
349,258733866,"['BS', 'West', '310A-B']"
350,505683756,"['BS', 'West', '310A-C']"
351,936466228,"['BS', 'West', '310A-D']"
352,550901573,"['BS', 'West', '310B-A']"
353,750067573,"['BS', 'West', '310B-B']"
354,730806149,"['BS', 'West', '310B-C']"
355,249804697,"['BS', 'West', '310B-D']"
356,977659811,"['BS', 'West', '311A-A']"
357,959131556,"['BS', 'West', '311A-B']"
358,364674987,"['BS', 'West', '311A-C']"
359,980234157,"['BS', 'West', '311A-D']"
360,566736840,"['BS', 'West', '311B-A']"
361,910602186,"['BS', 'West', '311B-B']"
362,783497166,"['BS', 'West', '311B-C']"
363,521327109,"['BS', 'West', '311B-D']"
364,627378924,"['BS', 'West', '312A-A']"
365,315104093,"['BS', 'West', '312A-B']"
366,309064782,"['BS', 'West', '312A-C']"
367,441421930,"['BS', 'West', '312A-D']"
368,667228294,"['BS', 'West', '312B-A']"
369,286144737,"['BS', 'West', '312B-B']"
370,143452389,"['BS', 'West', '312B-C']"
371,304365802,"['BS', 'West', '312B-D']"
372,969003277,"['BS', 'West', '313-A']"
373,415711516,"['BS', 'West', '313-B']"
374,560376219,"['BS', 'West', '313-C']"
375,980257214,"['BS', 'West', '313-D']"
376,714891825,"['BS', 'West', '401A-A']"
377,690770548,"['BS', 'West', '401A-B']"
378,333664888,"['BS', 'West', '401A-C']"
379,446651160,"['BS', 'West', '401A-D']"
380,727360303,"['BS', 'West', '401B-A']"
381,447120238,"['BS', 'West', '401B-B']"
382,712453090,"['BS', 'West', '401B-C']"
383,228922455,"['BS', 'West', '401B-D']"
384,923538814,"['BS', 'West', '402A-A']"
385,341667225,"['BS', 'West', '402A-B']"
386,954090997,"['BS', 'West', '402A-C']"
387,725792357,"['BS', 'West', '402A-D']"
388,188028563,"['BS', 'West', '402B-A']"
389,743511754,"['BS', 'West', '402B-B']"
390,679952100,"['BS', 'West', '402B-C']"
391,295622495,"['BS', 'West', '402B-D']"
392,834008931,"['BS', 'West', '403A-A']"
393,757755763,"['BS', 'West', '403A-B']"
394,226887573,"['BS', 'West', '403A-C']"
395,403640307,"['BS', 'West', '403A-D']"
396,935057460,"['BS', 'West', '403B-A']"
397,698087549,"['BS', 'West', '403B-B']"
398,769141004,"['BS', 'West', '403B-C']"
399,906545485,"['BS', 'West', '403B-D']"
400,406055338,"['BS', 'West', '404A-A']"
401,746772962,"['BS', 'West', '404A-B']"
402,941441595,"['BS', 'West', '404A-C']"
403,336108116,"['BS', 'West', '404A-D']"
404,718148267,"['BS', 'West', '404B-A']"
405,700506902,"['BS', 'West', '404B-B']"
406,315802434,"['BS', 'West', '404B-C']"
407,346004386,"['BS', 'West', '404B-D']"
408,632179730,"['BS', 'West', '405A-A']"
409,604079129,"['BS', 'West', '405A-B']"
410,255370273,"['BS', 'West', '405A-C']"
411,826096776,"['BS', 'West', '405A-D']"
412,712502580,"['BS', 'West', '405B-A']"
413,732413279,"['BS', 'West', '405B-B']"
414,652485991,"['BS', 'West', '405B-C']"
415,351577482,"['BS', 'West', '405B-D']"
416,243205526,"['BS', 'West', '406-A']"
417,837453243,"['BS', 'West', '406-B']"
418,435406302,"['BS', 'West', '406-C']"
419,268156429,"['BS', 'West', '406-D']"
420,631682632,"['BS', 'West', '407A-A']"
421,290559663,"['BS', 'West', '407A-B']"
422,820348729,"['BS', 'West', '407A-C']"
423,271640392,"['BS', 'West', '407A-D']"
424,388542458,"['BS', 'West', '407B-A']"
425,930895884,"['BA', '301-324', '301-A']"
426,640024625,"['BA', '301-324', '301-B']"
427,371163350,"['BA', '301-324', '301-C']"
428,781592870,"['BA', '301-324', '301-D']"
429,381993656,"['BA', '301-324', '302-A']"
430,301685470,"['BA', '301-324', '302-B']"
431,340751232,"['BA', '301-324', '302-C']"
432,115506074,"['BA', '301-324', '302-D']"
433,498615363,"['BA', '301-324', '303-A']"
434,345117864,"['BA', '301-324', '303-B']"
435,645446839,"['BA', '301-324', '303-C']"
436,898673880,"['BA', '301-324', '303-D']"
437,648056098,"['BA', '301-324', '304-A']"
438,711622222,"['BA', '301-324', '304-B']"
439,372252561,"['BA', '301-324', '304-C']"
440,240033684,"['BA', '301-324', '304-D']"
441,670564299,"['BA', '301-324', '305-A']"
442,471302183,"['BA', '301-324', '305-B']"
443,107974699,"['BA', '301-324', '305-C']"
444,609906789,"['BA', '301-324', '305-D']"
445,605894856,"['BA', '301-324', '306-A']"
446,980220112,"['BA', '301-324', '306-B']"
447,407673099,"['BA', '301-324', '306-C']"
448,135835919,"['BA', '301-324', '306-D']"
449,962169115,"['BA', '301-324', '307-A']"
450,896528680,"['BA', '301-324', '307-B']"
451,399206730,"['BA', '301-324', '307-C']"
452,430766418,"['BA', '301-324', '307-D']"
453,665588072,"['BA', '301-324', '308-A']"
454,549003637,"['BA', '301-324', '308-B']"
455,331596199,"['BA', '301-324', '308-C']"
456,978878959,"['BA', '301-324', '308-D']"
457,527217249,"['BA', '301-324', '309-A']"
458,245164754,"['BA', '301-324', '309-B']"
459,964281044,"['BA', '301-324', '309-C']"
460,238537463,"['BA', '301-324', '309-D']"
461,634882813,"['BA', '301-324', '310-A']"
462,262966015,"['BA', '301-324', '310-B']"
463,749738753,"['BA', '301-324', '310-C']"
464,620434182,"['BA', '301-324', '310-D']"
465,401277712,"['BA', '301-324', '311-A']"
466,476742428,"['BA', '301-324', '311-B']"
467,461531945,"['BA', '301-324', '311-C']"
468,139187118,"['BA', '301-324', '311-D']"
469,930395056,"['BA', '301-324', '312-A']"
470,921897929,"['BA', '301-324', '312-B']"
471,169241548,"['BA', '301-324', '312-C']"
472,729211857,"['BA', '301-324', '312-D']"
473,526400478,"['BA', '301-324', '313-A']"
474,688135149,"['BA', '301-324', '313-B']"
475,413742069,"['BA', '301-324', '313-C']"
476,364049403,"['BA', '301-324', '313-D']"
477,468167705,"['BA', '301-324', '314-A']"
478,927380526,"['BA', '301-324', '314-B']"
479,433353865,"['BA', '301-324', '314-C']"
480,688514195,"['BA', '301-324', '314-D']"
481,492743839,"['BA', '301-324', '315-A']"
482,154672300,"['BA', '301-324', '315-B']"
483,963978434,"['BA', '301-324', '315-C']"
484,405642447,"['BA', '301-324', '315-D']"
485,538086616,"['BA', '301-324', '316-A']"
486,185636060,"['BA', '301-324', '316-B']"
487,760292613,"['BA', '301-324', '316-C']"
488,689401132,"['BA', '301-324', '316-D']"
489,394145105,"['BA', '301-324', '317-A']"
490,603833812,"['BA', '301-324', '317-B']"
491,562591208,"['BA', '301-324', '317-C']"
492,625458693,"['BA', '301-324', '317-D']"
493,597474823,"['BA', '301-324', '318-A']"
494,373167625,"['BA', '301-324', '318-B']"
495,144641550,"['BA', '301-324', '318-C']"
496,864488994,"['BA', '301-324', '318-D']"
497,761155172,"['BA', '301-324', '319-A']"
498,890242719,"['BA', '301-324', '319-B']"
499,989679279,"['BA', '301-324', '319-C']"
500,188784321,"['BA', '301-324', '319-D']"
501,715298552,"['BA', '301-324', '320-A']"
502,607901435,"['BA', '301-324', '320-B']"
503,693509889,"['BA', '301-324', '320-C']"
504,369825544,"['BA', '301-324', '320-D']"
505,932888359,"['BA', '301-324', '321-A']"
506,601001781,"['BA', '301-324', '321-B']"
507,986036032,"['BA', '301-324', '321-C']"
508,737769291,"['BA', '301-324', '321-D']"
509,561327951,"['BA', '301-324', '322-A']"
510,117258074,"['BA', '301-324', '322-B']"
511,240996282,"['BA', '301-324', '322-C']"
512,625037354,"['BA', '301-324', '322-D']"
513,632242230,"['BA', '301-324', '323-A']"
514,139653201,"['BA', '301-324', '323-B']"
515,727201895,"['BA', '301-324', '323-C']"
516,592605290,"['BA', '301-324', '323-D']"
517,714854506,"['BA', '301-324', '324-A']"
518,368851056,"['BA', '301-324', '324-B']"
519,320118912,"['BA', '301-324', '324-C']"
520,342540418,"['BA', '301-324', '324-D']"
521,334434432,"['BA', '325  - 348', '325-A']"
522,403581131,"['BA', '325  - 348', '325-B']"
523,973011160,"['BA', '325  - 348', '325-C']"
524,388763918,"['BA', '325  - 348', '325-D']"
525,105398557,"['BA', '325  - 348', '326-A']"
526,599488831,"['BA', '325  - 348', '326-B']"
527,521722229,"['BA', '325  - 348', '326-C']"
528,533741984,"['BA', '325  - 348', '326-D']"
529,869462526,"['BA', '325  - 348', '327-A']"
530,706558547,"['BA', '325  - 348', '327-B']"
531,669348438,"['BA', '325  - 348', '327-C']"
532,846418547,"['BA', '325  - 348', '327-D']"
533,840446603,"['BA', '325  - 348', '328-A']"
534,627993263,"['BA', '325  - 348', '328-B']"
535,796949207,"['BA', '325  - 348', '328-C']"
536,910011114,"['BA', '325  - 348', '328-D']"
537,262138626,"['BA', '325  - 348', '329-A']"
538,891239175,"['BA', '325  - 348', '329-B']"
539,306490137,"['BA', '325  - 348', '329-C']"
540,906310460,"['BA', '325  - 348', '329-D']"
541,647953214,"['BA', '325  - 348', '330-A']"
542,206412629,"['BA', '325  - 348', '330-B']"
543,346075997,"['BA', '325  - 348', '330-C']"
544,854147934,"['BA', '325  - 348', '330-D']"
545,712008569,"['BA', '325  - 348', '331-A']"
546,954334110,"['BA', '325  - 348', '331-B']"
547,379235238,"['BA', '325  - 348', '331-C']"
548,980544500,"['BA', '325  - 348', '331-D']"
549,765365254,"['BA', '325  - 348', '332-A']"
550,415855642,"['BA', '325  - 348', '332-B']"
551,175576116,"['BA', '325  - 348', '332-C']"
552,173618357,"['BA', '325  - 348', '332-D']"
553,252751076,"['BA', '325  - 348', '333-A']"
554,327169272,"['BA', '325  - 348', '333-B']"
555,118076698,"['BA', '325  - 348', '333-C']"
556,770671901,"['BA', '325  - 348', '333-D']"
557,885685546,"['BA', '325  - 348', '334-A']"
558,665333034,"['BA', '325  - 348', '334-B']"
559,785952060,"['BA', '325  - 348', '334-C']"
560,806210886,"['BA', '325  - 348', '334-D']"
561,443155799,"['BA', '325  - 348', '335-A']"
562,286866806,"['BA', '325  - 348', '335-B']"
563,882746756,"['BA', '325  - 348', '335-C']"
564,932818318,"['BA', '325  - 348', '335-D']"
565,515249595,"['BA', '325  - 348', '336-A']"
566,526794221,"['BA', '325  - 348', '336-B']"
567,813418030,"['BA', '325  - 348', '336-C']"
568,107769397,"['BA', '325  - 348', '336-D']"
569,472297063,"['BA', '325  - 348', '337-A']"
570,729093759,"['BA', '325  - 348', '337-B']"
571,476481164,"['BA', '325  - 348', '337-C']"
572,968388235,"['BA', '325  - 348', '337-D']"
573,577359514,"['BA', '325  - 348', '338-A']"
574,526126767,"['BA', '325  - 348', '338-B']"
575,428025558,"['BA', '325  - 348', '338-C']"
576,112789255,"['BA', '325  - 348', '338-D']"
577,846534449,"['BA', '325  - 348', '339-A']"
578,689237817,"['BA', '325  - 348', '339-B']"
579,545398589,"['BA', '325  - 348', '339-C']"
580,534927205,"['BA', '325  - 348', '339-D']"
581,605065075,"['BA', '325  - 348', '340-A']"
582,681717671,"['BA', '325  - 348', '340-B']"
583,410978282,"['BA', '325  - 348', '340-C']"
584,396001838,"['BS', 'West', '407B-B']"
585,260481649,"['BS', 'West', '407B-C']"
586,256893657,"['BS', 'West', '407B-D']"
587,494846809,"['BS', 'West', '408A-A']"
